policyID,statecode,county
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
119736,FL,CLAY COUNTY
448094,FL,CLAY COUNTY
206893,FL,CLAY COUNTY
333743,FL,CLAY COUNTY
172534,FL,CLAY COUNTY
785275,FL,CLAY COUNTY
995932,FL,CLAY COUNTY
223488,FL,CLAY COUNTY
433512,FL,CLAY COUNTY
142071,FL,CLAY COUNTY
253816,FL,CLAY COUNTY
894922,FL,CLAY COUNTY
422834,FL,CLAY COUNTY
582721,FL,CLAY COUNTY
842700,FL,CLAY COUNTY
